date, pm25
13/3/2021,179
14/3/2021,172
15/3/2021,161
16/3/2021,156
17/3/2021,157
18/3/2021,162
19/3/2021,160
20/3/2021,158
21/3/2021,147
22/3/2021,144
23/3/2021,112
24/3/2021,124
25/3/2021,147
26/3/2021,147
27/3/2021,151
28/3/2021,158
29/3/2021,159
30/3/2021,170
31/3/2021,172
18/12/2020,86
19/12/2020,83
20/12/2020,71
21/12/2020,59
22/12/2020,71
23/12/2020,78
24/12/2020,88
25/12/2020,93
26/12/2020,97
27/12/2020,87
28/12/2020,74
29/12/2020,67
30/12/2020,81
31/12/2020,84
1/1/2021,94
2/1/2021,90
3/1/2021,108
1/7/2020,47
2/7/2020,47
3/7/2020,46
4/7/2020,47
5/7/2020,46
6/7/2020,48
7/7/2020,61
8/7/2020,46
9/7/2020,48
10/7/2020,54
11/7/2020,54
12/7/2020,54
13/7/2020,52
14/7/2020,43
15/7/2020,48
16/7/2020,51
17/7/2020,48
18/7/2020,48
19/7/2020,52
20/7/2020,86
21/7/2020,60
22/7/2020,52
23/7/2020,47
24/7/2020,52
25/7/2020,56
26/7/2020,68
27/7/2020,63
28/7/2020,44
29/7/2020,51
30/7/2020,52
31/7/2020,55
1/8/2020,56
2/8/2020,62
3/8/2020,50
4/8/2020,46
5/8/2020,42
6/8/2020,56
7/8/2020,60
8/8/2020,47
9/8/2020,50
10/8/2020,59
11/8/2020,57
12/8/2020,52
13/8/2020,89
14/8/2020,71
15/8/2020,54
16/8/2020,60
17/8/2020,63
18/8/2020,62
19/8/2020,68
20/8/2020,62
21/8/2020,57
22/8/2020,45
23/8/2020,43
24/8/2020,56
25/8/2020,69
26/8/2020,63
27/8/2020,52
28/8/2020,63
29/8/2020,59
30/8/2020,58
31/8/2020,68
1/9/2020,66
2/9/2020,69
3/9/2020,77
4/9/2020,85
5/9/2020,77
6/9/2020,65
7/9/2020,63
8/9/2020,60
9/9/2020,46
10/9/2020,86
11/9/2020,74
12/9/2020,43
13/9/2020,57
14/9/2020,66
15/9/2020,55
16/9/2020,56
17/9/2020,88
18/9/2020,47
19/9/2020,54
20/9/2020,39
21/9/2020,46
22/9/2020,54
23/9/2020,45
25/9/2020,48
1/4/2020,169
2/4/2020,175
3/4/2020,173
4/4/2020,200
5/4/2020,213
6/4/2020,191
7/4/2020,164
8/4/2020,171
9/4/2020,157
10/4/2020,156
11/4/2020,165
12/4/2020,169
13/4/2020,152
14/4/2020,118
15/4/2020,135
16/4/2020,135
17/4/2020,140
18/4/2020,151
19/4/2020,152
20/4/2020,154
21/4/2020,156
22/4/2020,144
23/4/2020,133
24/4/2020,125
25/4/2020,111
26/4/2020,71
27/4/2020,56
28/4/2020,54
29/4/2020,57
30/4/2020,65
1/5/2020,70
2/5/2020,63
3/5/2020,56
4/5/2020,70
5/5/2020,74
6/5/2020,97
7/5/2020,98
8/5/2020,84
9/5/2020,92
10/5/2020,80
11/5/2020,69
12/5/2020,66
13/5/2020,77
14/5/2020,71
15/5/2020,77
16/5/2020,76
17/5/2020,97
18/5/2020,93
19/5/2020,68
20/5/2020,67
21/5/2020,73
22/5/2020,99
23/5/2020,124
24/5/2020,127
25/5/2020,120
26/5/2020,107
27/5/2020,87
28/5/2020,66
29/5/2020,57
30/5/2020,53
31/5/2020,57
1/6/2020,64
2/6/2020,64
3/6/2020,65
4/6/2020,66
5/6/2020,60
6/6/2020,59
7/6/2020,49
8/6/2020,47
9/6/2020,46
10/6/2020,44
11/6/2020,51
12/6/2020,54
13/6/2020,50
14/6/2020,48
15/6/2020,86
16/6/2020,48
17/6/2020,49
18/6/2020,47
19/6/2020,49
20/6/2020,48
21/6/2020,50
22/6/2020,51
23/6/2020,40
24/6/2020,51
25/6/2020,49
26/6/2020,49
27/6/2020,49
28/6/2020,44
29/6/2020,50
30/6/2020,52
1/1/2020,94
2/1/2020,74
3/1/2020,81
4/1/2020,104
5/1/2020,149
6/1/2020,113
7/1/2020,92
8/1/2020,136
9/1/2020,152
10/1/2020,131
11/1/2020,106
12/1/2020,110
13/1/2020,170
14/1/2020,134
15/1/2020,104
16/1/2020,95
17/1/2020,112
18/1/2020,141
19/1/2020,118
20/1/2020,134
21/1/2020,145
22/1/2020,110
23/1/2020,91
24/1/2020,103
25/1/2020,105
26/1/2020,125
27/1/2020,122
28/1/2020,138
29/1/2020,127
30/1/2020,141
31/1/2020,158
1/2/2020,143
2/2/2020,115
3/2/2020,105
4/2/2020,121
5/2/2020,111
6/2/2020,122
7/2/2020,121
8/2/2020,132
9/2/2020,155
10/2/2020,142
11/2/2020,129
12/2/2020,119
13/2/2020,112
14/2/2020,102
15/2/2020,134
16/2/2020,165
17/2/2020,166
18/2/2020,163
19/2/2020,143
20/2/2020,143
21/2/2020,160
22/2/2020,147
23/2/2020,145
24/2/2020,149
25/2/2020,160
26/2/2020,160
27/2/2020,159
28/2/2020,173
29/2/2020,174
1/3/2020,156
2/3/2020,157
3/3/2020,146
4/3/2020,142
5/3/2020,128
6/3/2020,123
7/3/2020,126
8/3/2020,151
9/3/2020,150
10/3/2020,166
11/3/2020,146
12/3/2020,152
13/3/2020,192
14/3/2020,234
15/3/2020,221
16/3/2020,157
17/3/2020,160
18/3/2020,176
19/3/2020,242
20/3/2020,229
21/3/2020,176
22/3/2020,170
23/3/2020,178
24/3/2020,163
25/3/2020,179
26/3/2020,171
27/3/2020,229
28/3/2020,189
29/3/2020,208
1/10/2019,77
2/10/2019,58
3/10/2019,62
4/10/2019,62
5/10/2019,65
6/10/2019,64
7/10/2019,62
8/10/2019,70
9/10/2019,70
10/10/2019,77
11/10/2019,54
12/10/2019,57
13/10/2019,59
14/10/2019,56
15/10/2019,59
16/10/2019,57
17/10/2019,60
18/10/2019,58
19/10/2019,66
20/10/2019,74
21/10/2019,76
22/10/2019,82
23/10/2019,74
24/10/2019,76
25/10/2019,77
26/10/2019,78
27/10/2019,66
28/10/2019,68
29/10/2019,64
30/10/2019,53
31/10/2019,60
1/11/2019,60
2/11/2019,63
3/11/2019,64
4/11/2019,67
5/11/2019,79
6/11/2019,82
7/11/2019,74
8/11/2019,74
9/11/2019,93
10/11/2019,115
11/11/2019,113
12/11/2019,110
13/11/2019,96
14/11/2019,70
15/11/2019,64
16/11/2019,74
17/11/2019,76
18/11/2019,67
19/11/2019,77
20/11/2019,82
21/11/2019,78
22/11/2019,86
23/11/2019,102
24/11/2019,94
25/11/2019,89
